"Time units","days since 2040-01-01",,,,
"Longitude",337.500488281,degree_east,
"Latitude",-26.4986686707,degree_north,
"Longitudinal bounds","longitude_bounds",336.094238281,338.906738281,
"Latitudinal bounds","latitude_bounds",-27.8933353424,-25.1040019989,
Name, "air_temperature",
Units, "K",
Standard name, "air_temperature_anomaly",
5129.0, Jan, 0.691955566406,
5160.0, Feb, 0.725677490234,
5188.0, Mar, 0.915618896484,
5219.0, Apr, 1.0517578125,
5249.0, May, 0.986480712891,
5280.0, Jun, 1.0791015625,
5310.0, Jul, 0.908630371094,
5341.0, Aug, 0.998809814453,
5372.0, Sep, 1.03601074219,
5402.0, Oct, 0.835632324219,
5433.0, Nov, 0.985687255859,
5463.0, Dec, 0.890411376953,
